"park_name","stef","aiden"
"Acadia National Park, Maine","False","False"
"Arches National Park, Utah","False","False"
"Badlands National Park, South Dakota","False","False"
"Big Bend National Park, Texas","False","False"
"Biscayne National Park, Florida","False","False"
"Black Canyon of the Gunnison National Park, Colorado","False","False"
"Bryce Canyon National Park, Utah","False","False"
"Canyonlands National Park, Utah","False","False"
"Capitol Reef National Park, Utah","False","False"
"Carlsbad Caverns National Park, New Mexico","False","False"
"Channel Islands National Park, California","False","False"
"Congaree National Park, South Carolina","False","False"
"Crater Lake National Park, Oregon","False","False"
"Cuyahoga Valley National Park, Ohio","False","False"
"Death Valley National Park, California and Nevada","False","False"
"Denali National Park, Alaska","False","False"
"Dry Tortugas National Park, Florida","False","False"
"Everglades National Park, Florida","False","False"
"Gates of the Arctic National Park, Alaska","False","False"
"Gateway Arch National Park, Missouri and Illinois","False","False"
"Glacier Bay National Park, Alaska","False","False"
"Glacier National Park, Montana","False","False"
"Grand Canyon National Park, Arizona","False","False"
"Grand Teton National Park, Wyoming","False","False"
"Great Basin National Park, Nevada","False","False"
"Great Sand Dunes National Park, Colorado","False","False"
"Great Smoky Mountains National Park, North Carolina and Tennessee","False","False"
"Guadalupe Mountains National Park, Texas","False","False"
"Haleakalā National Park, Hawaii","False","False"
"Hawai'i Volcanoes National Park, Hawaii","False","False"
"Hot Springs National Park, Arkansas","False","False"
"Indiana Dunes National Park, Indiana","False","False"
"Isle Royale National Park, Michigan","False","False"
"Joshua Tree National Park, California","False","False"
"Katmai National Park, Alaska","False","False"
"Kenai Fjords National Park, Alaska","False","False"
"Kings Canyon National Park, California","False","False"
"Kobuk Valley National Park, Alaska","False","False"
"Lake Clark National Park, Alaska","False","False"
"Lassen Volcanic National Park, California","False","False"
"Mammoth Cave National Park, Kentucky","False","False"
"Mesa Verde National Park, Colorado","False","False"
"Mount Rainier National Park, Washington","False","False"
"National Park of American Samoa, American Samoa","False","False"
"New River Gorge National Park and Preserve, West Virginia","False","False"
"North Cascades National Park, Washington","False","False"
"Olympic National Park, Washington","False","False"
"Petrified Forest National Park, Arizona","False","False"
"Pinnacles National Park, California","False","False"
"Redwood National Park, California","False","False"
"Rocky Mountain National Park, Colorado","False","False"
"Saguaro National Park, Arizona","False","False"
"Sequoia National Park, California","False","False"
"Shenandoah National Park, Virginia","False","False"
"Theodore Roosevelt National Park, North Dakota","False","False"
"Virgin Islands National Park, Virgin Islands","False","False"
"Voyageurs National Park, Minnesota","False","False"
"White Sands National Park, New Mexico","False","False"
"Wind Cave National Park, South Dakota","False","False"
"Wrangell-St. Elias National Park, Alaska","False","False"
"Yellowstone National Park, Idaho, Montana, and Wyoming","False","False"
"Yosemite National Park, California","False","False"
"Zion National Park, Utah","False","False"
